building_id,cluster,damage_numeric,damage_grade
231201000751,0,5.0,Grade 5
231201000761,0,3.0,Grade 3
231201000762,0,3.0,Grade 3
231201000771,0,4.0,Grade 4
231201000781,0,3.0,Grade 3
231201000791,0,3.0,Grade 3
231201000801,0,2.0,Grade 2
231201000811,0,2.0,Grade 2
231201000821,0,5.0,Grade 5
231201000831,0,4.0,Grade 4
231201000832,0,2.0,Grade 2
231201000841,0,4.0,Grade 4
231201000851,0,3.0,Grade 3
231201000861,0,3.0,Grade 3
231201000871,0,4.0,Grade 4
231201000881,0,4.0,Grade 4
231201000891,0,5.0,Grade 5
231201000901,0,3.0,Grade 3
231201000911,0,2.0,Grade 2
231201000912,0,2.0,Grade 2
231201000921,0,2.0,Grade 2
231201000931,0,4.0,Grade 4
231201000941,0,5.0,Grade 5
231201000951,0,5.0,Grade 5
231201000952,0,5.0,Grade 5
231201000953,0,5.0,Grade 5
231201001571,0,5.0,Grade 5
231201000961,0,4.0,Grade 4
231201000971,0,4.0,Grade 4
231201000981,0,4.0,Grade 4
231201000991,0,5.0,Grade 5
231201001001,0,4.0,Grade 4
231201001011,0,5.0,Grade 5
231201001021,0,5.0,Grade 5
231201001031,0,4.0,Grade 4
231201001041,0,4.0,Grade 4
231201001051,0,4.0,Grade 4
231201001061,0,4.0,Grade 4
231201001071,0,5.0,Grade 5
231201001081,0,3.0,Grade 3
231201001091,0,5.0,Grade 5
231201001101,0,5.0,Grade 5
231201001111,0,4.0,Grade 4
231201001121,0,2.0,Grade 2
231201001131,0,4.0,Grade 4
231201001132,0,5.0,Grade 5
231201001141,0,4.0,Grade 4
231201001151,0,4.0,Grade 4
231201001161,0,5.0,Grade 5
231201001171,0,4.0,Grade 4
231201001181,0,4.0,Grade 4
231201001191,0,4.0,Grade 4
231201001201,0,2.0,Grade 2
231201001211,0,3.0,Grade 3
231201001221,0,4.0,Grade 4
231201001231,0,5.0,Grade 5
231201001241,0,4.0,Grade 4
231201001251,0,3.0,Grade 3
231201001261,0,2.0,Grade 2
231201001271,0,5.0,Grade 5
231201001281,0,4.0,Grade 4
231201001291,0,4.0,Grade 4
231201001301,0,4.0,Grade 4
231201001311,0,4.0,Grade 4
231201001321,0,4.0,Grade 4
231201001331,0,3.0,Grade 3
231201001341,0,3.0,Grade 3
231201001351,0,3.0,Grade 3
231201001361,0,4.0,Grade 4
231201001581,0,5.0,Grade 5
231201001371,0,4.0,Grade 4
231201001381,0,4.0,Grade 4
231201001391,0,4.0,Grade 4
231201001401,0,4.0,Grade 4
231201001411,0,3.0,Grade 3
231201001421,0,5.0,Grade 5
231201001422,0,1.0,Grade 1
231201001431,0,4.0,Grade 4
231201001441,0,5.0,Grade 5
231201001451,0,4.0,Grade 4
231201001461,0,4.0,Grade 4
231201001471,0,4.0,Grade 4
231201001481,0,4.0,Grade 4
231201001491,0,4.0,Grade 4
231201001501,0,4.0,Grade 4
231201001511,0,5.0,Grade 5
231201001521,0,4.0,Grade 4
231201001531,0,4.0,Grade 4
231201001541,0,3.0,Grade 3
231201001551,0,1.0,Grade 1
231201001561,0,5.0,Grade 5
231201001591,0,5.0,Grade 5
231201001601,0,4.0,Grade 4
