building_id,damage_numeric,predicted_severity
285905001662,5.0,4.987913556129212
285905001691,5.0,4.987913556129212
285905001701,5.0,4.987913556129212
285905001741,5.0,4.987913556129212
285905001841,5.0,4.987913556129212
285905001881,5.0,4.987913556129212
285905001901,5.0,4.987913556129212
285905001911,5.0,4.987913556129212
285905001921,4.0,3.4596465776865335
285905002021,5.0,4.987913556129212
285906002101,5.0,4.987913556129212
285906002161,5.0,4.987913556129212
285906002172,1.0,1.5834819751065996
285906002211,2.0,1.578989911701069
285906002212,5.0,4.987913556129212
285906002232,1.0,1.578989911701069
285906002271,1.0,1.578989911701069
285906002281,5.0,5.0
285906002291,4.0,3.468233619265775
285906002351,2.0,2.5035030880872684
285906002431,5.0,4.987913556129212
285906002531,4.0,3.285709970330308
285906002571,4.0,3.5373415776653307
285906002621,5.0,4.987913556129212
285906002651,5.0,4.987913556129212
285906002701,2.0,3.317035485013983
285906002831,5.0,4.987913556129212
285906002841,5.0,4.987913556129212
285906002862,2.0,3.4514775998197367
285906002901,4.0,3.579961337217563
285906002961,5.0,4.987913556129212
285906002981,5.0,4.987913556129212
285906003061,4.0,3.5494692364913414
285906003071,5.0,4.987913556129212
285906003091,5.0,4.987913556129212
285906003151,5.0,4.987913556129212
285906003161,5.0,4.987913556129212
285906003191,2.0,3.4596465776865335
285906003251,2.0,3.4477519847974274
285906003291,5.0,4.987913556129212
285906003311,5.0,4.987913556129212
285906003341,4.0,3.579961337217563
285906003471,4.0,3.4596465776865335
285906003491,5.0,4.987913556129212
285906003561,4.0,3.579961337217563
285906003581,5.0,4.987913556129212
285906003711,3.0,3.4596465776865335
285906003731,5.0,4.987913556129212
285906003791,5.0,4.987913556129212
285906003911,5.0,4.987913556129212
285906003931,4.0,3.559033194489958
285906004111,5.0,4.987913556129212
285906004151,4.0,3.559033194489958
285906004261,5.0,4.987913556129212
285906004271,5.0,4.987913556129212
285906004381,4.0,3.564496013751106
285907000021,4.0,3.579961337217563
285907000111,5.0,4.987913556129212
285907000141,2.0,3.4596465776865335
285907000161,2.0,1.5834819751065996
285907000171,5.0,4.987913556129212
285907000321,5.0,4.987913556129212
285907000361,5.0,4.987913556129212
285907000391,5.0,4.987913556129212
285907000421,5.0,4.987913556129212
285907000511,5.0,4.987913556129212
285907000621,2.0,3.468233619265775
285907000661,3.0,3.468233619265775
285907000711,2.0,3.4514775998197367
285907000722,2.0,3.4345918771752277
285907000771,2.0,3.468233619265775
285907000881,5.0,4.987913556129212
285907000891,5.0,4.987913556129212
285907000931,4.0,3.4514775998197367
285907000941,3.0,3.4514775998197367
285907000971,4.0,3.4514775998197367
285908000221,5.0,4.987913556129212
285908000241,5.0,4.987913556129212
285908000271,5.0,4.987913556129212
285908000311,4.0,3.45045200956577
285908000331,4.0,3.4586209874325675
285908000361,5.0,3.6052882015530447
285908000401,5.0,3.6207535250195026
285908000411,5.0,4.987913556129212
285908000472,4.0,3.4335662869212613
285908000561,4.0,3.438557416676664
285908000601,4.0,3.4335662869212613
285908000701,4.0,3.4586209874325675
285908000711,4.0,3.438557416676664
285908000911,4.0,3.4586209874325675
285908000931,5.0,4.987913556129212
285908001111,5.0,3.6207535250195026
285908001141,5.0,4.987913556129212
285908001201,4.0,3.4335662869212613
285908001212,5.0,4.987913556129212
285908001261,4.0,3.4586209874325675
285908001271,5.0,3.6207535250195026
285908001311,4.0,3.4358338993202175
285908001332,5.0,3.5781337654672707
285908001351,4.0,3.45045200956577
285908001361,5.0,4.987913556129212
285908001391,5.0,4.987913556129212
285908001421,5.0,4.987913556129212
285908001451,4.0,3.4586209874325675
285908001491,4.0,3.4467263945434614
285908001541,5.0,4.987913556129212
285908001611,5.0,4.987913556129212
285908001671,5.0,3.4672080290118084
285908001681,4.0,3.4586209874325675
285908001731,3.0,3.3527156966156384
285908001931,5.0,4.987913556129212
285908001961,4.0,3.4586209874325675
285908002121,4.0,3.45045200956577
285908002151,4.0,3.4586209874325675
285908002161,4.0,3.4586209874325675
285908002191,4.0,3.438557416676664
285908002232,5.0,4.987913556129212
285908002341,4.0,3.4586209874325675
285908002401,4.0,3.4586209874325675
285908002411,4.0,3.4586209874325675
285908002471,4.0,3.45045200956577
285908002511,4.0,3.4586209874325675
285908002611,5.0,4.987913556129212
285908002621,5.0,4.987913556129212
285908002681,5.0,4.987913556129212
285908002741,4.0,3.45045200956577
285908002791,4.0,3.438557416676664
285908002831,4.0,3.45045200956577
285908002851,5.0,4.987913556129212
285908002871,4.0,3.45045200956577
285908002891,4.0,3.45045200956577
285908003151,4.0,3.45045200956577
285908003201,5.0,4.987913556129212
285908003231,4.0,3.4335662869212613
285908003241,4.0,3.4335662869212613
285908003371,5.0,4.987913556129212
285908003391,5.0,4.987913556129212
285908003411,5.0,4.987913556129212
285908003501,4.0,3.45045200956577
285908003511,5.0,4.987913556129212
285908003521,5.0,4.987913556129212
285908003551,2.0,1.8659796687617871
285908003561,5.0,4.987913556129212
285908003591,5.0,4.987913556129212
285908003631,4.0,3.4586209874325675
285909000031,5.0,3.599061908194876
285909000051,5.0,3.599061908194876
285909000061,5.0,3.579961337217563
285909000121,4.0,3.4358338993202175
285909000181,4.0,3.4586209874325675
285909000321,5.0,3.6207535250195026
285909000401,5.0,4.95996818476215
285909000431,4.0,3.309252535941957
285909000441,5.0,4.987913556129212
285909000491,4.0,3.4358338993202175
285909000571,4.0,3.309252535941957
285909000711,5.0,4.987913556129212
285909000791,4.0,3.45045200956577
285909000811,3.0,3.45045200956577
